valor_original,apariciones,propuesta_canonica,nivel,padre,confianza,DUDOSO
Sardegna,11,Cerdeña,region,,MEDIA,
Ribeira Sacra,11,Ribeira Sacra,do,Galicia,MEDIA,
Manchuela,11,Manchuela,do,,MEDIA,
Friuli,11,Friuli-Venezia Giulia,region,,MEDIA,
Vinos Tierra De Mallorca,11,,,,,TRUE
D.O. Granada,11,,,,,TRUE
ESTADOS UNIDOS,11,Estados Unidos,pais,,MEDIA,
Sudáfrica,11,Sudáfrica,pais,,MEDIA,
Esperit Roca,11,,,,,TRUE
Usa,10,Estados Unidos,pais,,MEDIA,
Pla I Levant,10,,,,,TRUE
D.O. Ribeiro,10,Ribeiro,do,Galicia,MEDIA,
Otros Vinos,10,,,,,TRUE
Saint Estèphe,9,Saint-Estèphe,do,Bordeaux,BAJA,
Barolo,9,Barolo,do,Piemonte,BAJA,
Madrid,9,Vinos de Madrid,do,,BAJA,
D.O. Alicante,9,Alicante,do,,BAJA,
Rueda,9,Rueda,do,Castilla y León,BAJA,
Jumilla,9,Jumilla,do,,BAJA,
Valencia,9,Valencia,do,,BAJA,
Grappa Gaja,9,,,,,TRUE
Vino de la Tierra Menorca,9,,,,,TRUE
Umbria,9,Umbría,region,,BAJA,
Castilla La Mancha,8,,,,,TRUE
País Vasco,8,País Vasco,region,,BAJA,
D.O. Almansa,8,,,,,TRUE
Bandol,8,Bandol,do,Provenza,BAJA,
San Fernando,8,,,,,TRUE
Moriles,8,,,,,TRUE
Provence,8,Provenza,region,Francia,BAJA,
Cornas,8,Cornas,do,Rhône,BAJA,
Vdf,8,,,,,TRUE
Vinos Tierra De Castilla,8,,,,,TRUE
Lazio,8,Lacio,region,,BAJA,
Valle D'aosta,8,,,,,TRUE
Fronsac,8,Fronsac,do,Bordeaux,BAJA,
D.O.P. Valle Del Güimar,7,,,,,TRUE
Vin De France,7,,,,,TRUE
FRENCH WHISKY,7,,,,,TRUE
Leon,7,,,,,TRUE
Conca Del Riu Anoia,7,,,,,TRUE
