nombre,apariciones,bodega_real
Chº Haut-Brion Blanc20181º Cru C,1,
Chº la Lagune20203º Cru C,1,
Domaine Chevalier Blanc 2018,1,
Valandraud Blanc 2018,1,
Chº Prieure-Lichine20204º Cru C,1,
Chº Rauzan-Ségla20202º Cru C,1,
Chº la Mission Haut-Brion2021c. C,1,
Chº Branaire Ducru20214º Cru C,1,
Blason de L’evangile20202º Vino,1,
Chº Haut-Brion20211º Cru C,1,
Chº la Tour de Mons2021c. B,1,
Chº Rauzan-Ségla20212º Cru C,1,
Chº Malescot-Saint-Exupéry20213º Cru C,1,
Baron de Brane20212º Vino,1,
Le Gravette de Certan20192º Vino,1,
Chº Smith Haut Lafitte Blanc2021g. Cru C,1,
Ch.haut-Batailley2022g. Cru C,1,
Chº Clos Fourtet20211º G.cru C,1,
Chº Monbousquet2022g. Cru C,1,
Chapelle de la Mission Haut-Brion 2021,1,
Chº Haut-Bailly2021g. Cru C,1,
Chº la Mondotte20211º G.cru C,1,
Chº L’evangile 2020,1,
Chº Léoville Barton20192º Cru C,1,
Chº Figeac20201º G.cru C,1,
Chº Smith Haut Lafitte Blanc2018g. Cru C,1,
Vieux Chº Certan 2020,1,
Domaine Chevalier2018c. C,1,
Chº Margaux20191º Cru C,1,
L’if 2019,1,
Chº Brane-Cantenac20192º Cru C,1,
Chº Monbousquet2021g. Cru C,1,
Chº Carbonnieux Blanc2021g. Cru C,1,
Chº la Mission Haut-Brion2020c. C,1,
Chº Smith Haut Lafitte2014g. Cru C,1,
Chº Smith Haut Lafitte Blanc2017g. Cru C,1,
Chº de Valandraud20201º G.cru C,1,
La Chapelle D’ausone20202º Vino,1,
Chº la Mission Haut-Brion2017c. C,1,
Chº D’yquem Coffret 1º Cru C.sup,1,
Chº la Lagune20193º Cru C,1,
Virginie de Valandraud Blanc20192º Vino,1,
Chº Haut-Brion Blanc20111º Cru C,1,
La Chapelle D’ausone20102º Vino,1,
Chº la Mondotte20171º G.cru C,1,
Chº Pavie20181º G.cru C.a,1,
Chº Pape Clément2021g. Cru C,1,
Chº les Carmes Haut-Brion 2021,1,
CH. Côte de Baleau2018g. Cru C,1,
Chº Ausone20091º G.cru C.a,1,
Chº Larcis Ducasse20161º G.cru C,1,
L’if 2016,1,
Chº Pape Clément Blanc2020g. Cru C,1,
Chº la Lagune20213º Cru C,1,
Chº Rocheyron2019g. Cru,1,
Chº Pape Clément Blanc2018g. Cru C,1,
Blason de L’evangile20212º Vino,1,
Domaine Chevalier2021c. C,1,
L’if 2018,1,
Chº la Mission Hb Blanc2012c. C,1,
Chº les Carmes Haut-Brion 2019,1,
Chº Ausone20141º G.cru C.a,1,
Pavillon Rouge du Chº Margaux20122º Vino,1,
Chº Smith Haut Lafitte2017g. Cru C,1,
Chº Haut-Brion Blanc20201º Cru C,1,
Chº Léoville Poyferré20182º Cru C,1,
Chº Mouton-Rothschild20201º Cru C,1,
Chº Pape Clément2018g. Cru C,1,
Blason D’issan20212º Vino,1,
La Chapelle D’ausone20212º Vino,1,
Chº Ausone20121º G.cru C.a,1,
Chº Cos D’ournel20202º Cru C,1,
Chº Beychevelle20164º Cru C,1,
Chº la Mission Haut-Brion2018c. C,1,
Chº la Tour de Mons2017c. B,1,
Chº Larcis Ducasse20151º G.cru C,1,
Chº Ducru Beaucaillou20202º Cru C,1,
Chº Haut-Brion Blanc20101º Cru C,1,
Chº Ausone20201º G.cru C.a,1,
La Chapelle D’ausone20162º Vino,1,
