valor_original,propuesta_canonica,grupo_id,apariciones,confianza,DUDOSO
BODEGAS EXOPTO,BODEGAS EXOPTO,381,7,BAJA,
FAUSTINO GONZALEZ,FAUSTINO GONZALEZ,382,7,BAJA,
CHAMPAGNE PAUL BARA,CHAMPAGNE PAUL BARA,383,7,BAJA,
Dom Perignon,Dom Perignon,384,7,BAJA,
BODEGA VIDAS,BODEGA VIDAS,385,7,BAJA,
BODEGAS LEDA,BODEGAS LEDA,386,7,BAJA,
OSSIAN,OSSIAN,387,7,BAJA,
MURUA,MURUA,388,7,BAJA,
ZORZAL & MICHELINI,ZORZAL & MICHELINI,389,7,BAJA,
AGRO DE BAZÁN,AGRO DE BAZÁN,390,7,BAJA,
BODEGA ÁLVAREZ Y DÍEZ,BODEGA ÁLVAREZ Y DÍEZ,391,7,BAJA,
VIÑA ALIAGA,VIÑA ALIAGA,392,7,BAJA,
BODEGA CAMINO DEL VILLAR,BODEGA CAMINO DEL VILLAR,393,7,BAJA,
CHEZEAUX,CHEZEAUX,394,7,BAJA,
Celler del Roure,Celler del Roure,395,7,BAJA,
Alambic Bourgignon - SAB's Vapor Destilled Beaune,Alambic Bourgignon - SAB's Vapor Destilled Beaune,396,7,BAJA,
Jorge Piernas,Jorge Piernas,397,7,BAJA,
Valle Arriba,Valle Arriba,398,7,BAJA,
L'ARIOSA,L'ARIOSA,399,7,BAJA,
Savage Wines Western Cape,Savage Wines Western Cape,400,7,BAJA,
CLIVI,CLIVI,401,7,BAJA,
ANTONELLI,ANTONELLI,402,7,BAJA,
TRENTO,TRENTO,403,7,BAJA,
CORDERO,CORDERO,404,7,BAJA,
DRAPPIER,DRAPPIER,405,7,BAJA,
DOMAINE DE LORIENT,DOMAINE DE LORIENT,406,7,BAJA,
CHAMPAGNE WILLIAM SAINTOT,CHAMPAGNE WILLIAM SAINTOT,407,7,BAJA,
CHÂTEAU THIEULEY,CHÂTEAU THIEULEY,408,7,BAJA,
Hospices de Beaune - élevage Thibault Liger Belair,Hospices de Beaune - élevage Thibault Liger Belair,409,6,BAJA,
Viñas Murillo,Viñas Murillo,410,6,BAJA,
Celler Cal Pla,Celler Cal Pla,411,6,BAJA,
Terras de Lantaño,Terras de Lantaño,412,6,BAJA,
Samuel Párraga,Samuel Párraga,413,6,BAJA,
Miguel Castro Maillo,Miguel Castro Maillo,414,6,BAJA,
Otronia,Otronia,415,6,BAJA,
Tilenus - Bodegas Estefanía - Raúl Pérez,Tilenus - Bodegas Estefanía - Raúl Pérez,416,6,BAJA,
CRUZ DE ALBA,CRUZ DE ALBA,417,6,BAJA,
NONINO,NONINO,418,6,BAJA,
ENIO OTTAVIANI,ENIO OTTAVIANI,419,6,BAJA,
Chablis,Chablis,420,6,BAJA,
MERRY EDWARDS,MERRY EDWARDS,421,6,BAJA,
Anyades Velles de Pardas,Anyades Velles de Pardas,422,6,BAJA,
CECI,CECI,423,6,BAJA,
Ponce Manchuela,Ponce Manchuela,424,6,BAJA,
Stratum Wines Bodegas Cerrón Jumilla,Stratum Wines Bodegas Cerrón Jumilla,425,6,BAJA,
Las Pedreras Gredos,Las Pedreras Gredos,426,6,BAJA,
José Gil Viticultor Rioja,José Gil Viticultor Rioja,427,6,BAJA,
POMMERY,POMMERY,428,6,BAJA,
DAVID FERNÁNDEZ,DAVID FERNÁNDEZ,429,6,BAJA,
BODEGAS VETUS,BODEGAS VETUS,430,6,BAJA,
Bodegas Sedella,Bodegas Sedella,431,6,BAJA,
Castro Candaz,Castro Candaz,432,6,BAJA,
Sublim / Excent,Sublim / Excent,433,6,BAJA,
Billecart-Salmon,Billecart-Salmon,434,6,BAJA,
CANTINA MONTELLIANA,CANTINA MONTELLIANA,435,6,BAJA,
BODEGAS LA VAL,BODEGAS LA VAL,436,6,BAJA,
BODEGA FIL.LOXERA,BODEGA FIL.LOXERA,437,6,BAJA,
Pascal Doquet Champagne,Pascal Doquet Champagne,438,6,BAJA,
Thierry Fournier Champagne,Thierry Fournier Champagne,439,6,BAJA,
Jean Marc Burgaud Beaujolais,Jean Marc Burgaud Beaujolais,440,6,BAJA,
Filipa Pato & William Wouter,Filipa Pato & William Wouter,441,6,BAJA,
CESAR PRINCIPE,CESAR PRINCIPE,442,6,BAJA,
Theo Dancer - Roc Breïa,Theo Dancer - Roc Breïa,443,6,BAJA,
PAGOS DE ARAIZ,PAGOS DE ARAIZ,444,6,BAJA,
CAN SUMOI,CAN SUMOI,445,6,BAJA,
FINCA VALPIEDRA,FINCA VALPIEDRA,446,6,BAJA,
DOMAINE TROPEZ,DOMAINE TROPEZ,447,6,BAJA,
Cellier Saint Benoit,Cellier Saint Benoit,448,6,BAJA,
BODEGA GREGORIO MARTINEZ,BODEGA GREGORIO MARTINEZ,449,6,BAJA,
MASSIMAGO,MASSIMAGO,450,6,BAJA,
ÁLVAR DE DIOS,ÁLVAR DE DIOS,451,6,BAJA,
MAR DE FRADES,MAR DE FRADES,452,6,BAJA,
VINOS TRICÓ,VINOS TRICÓ,453,6,BAJA,
Dominio del Challao,Dominio del Challao,454,6,BAJA,
Viña Pedrosa,Viña Pedrosa,455,6,BAJA,
San Román,San Román,456,6,BAJA,
Poderi Colla,Poderi Colla,457,6,BAJA,
Wegeler,Wegeler,458,6,BAJA,
Raquis,Raquis,459,6,BAJA,
Puerta del Abra,Puerta del Abra,460,6,BAJA,
Bruma del Estrecho,Bruma del Estrecho,461,6,BAJA,
Tutu,Tutu,462,6,BAJA,
Durigutti,Durigutti,463,6,BAJA,
Terlano,Terlano,464,6,BAJA,
Mauro Veglio,Mauro Veglio,465,6,BAJA,
G.B. Burlotto,G.B. Burlotto,466,6,BAJA,
Vieira de Sousa,Vieira de Sousa,467,6,BAJA,
CHRISTOPHE PACALET,CHRISTOPHE PACALET,468,6,BAJA,
DUEMANI,DUEMANI,469,6,BAJA,
Dalamára Naoussa,Dalamára Naoussa,470,6,BAJA,
DOMAINE JOUBERT,DOMAINE JOUBERT,471,6,BAJA,
DOMAINE HENRI RICHARD,DOMAINE HENRI RICHARD,472,6,BAJA,
TOSCA,TOSCA,473,6,BAJA,
LA SOEUR CADETTE,LA SOEUR CADETTE,474,6,BAJA,
DOMAINE DE LA BORDE,DOMAINE DE LA BORDE,475,6,BAJA,
CHAMPAGNE VILMART & CIE,CHAMPAGNE VILMART & CIE,476,6,BAJA,
BELA,BELA,477,6,BAJA,
BODEGA PALACIO QUEMADO,BODEGA PALACIO QUEMADO,478,6,BAJA,
IZAR-LEKU,IZAR-LEKU,479,6,BAJA,
DOMAINE DE VILLENEUVE,DOMAINE DE VILLENEUVE,480,6,BAJA,
BODEGAS SALADO ( Sevilla),BODEGAS SALADO ( Sevilla),481,6,BAJA,
ADEGA MANUEL FORMIGO,ADEGA MANUEL FORMIGO,482,6,BAJA,
VIGNOBLES LA COULÉE DE SERRANT,VIGNOBLES LA COULÉE DE SERRANT,483,6,BAJA,
DOMAINE LES BRUYERES,DOMAINE LES BRUYERES,484,6,BAJA,
EMILIO HIDALGO,EMILIO HIDALGO,485,5,ALTA,
Emilio Hidalgo,EMILIO HIDALGO,485,1,ALTA,
María Rigol Ordi,María Rigol Ordi,486,5,BAJA,
Altos del Enebro,Altos del Enebro,487,5,BAJA,
Zorzal,Zorzal,488,5,BAJA,
Jable de Tao,Jable de Tao,489,5,BAJA,
PIERRE PETERS,PIERRE PETERS,490,5,BAJA,
Etienne Calsac Champagne,Etienne Calsac Champagne,491,5,BAJA,
Weingut Muthenthaler Wachau,Weingut Muthenthaler Wachau,492,5,BAJA,
Whitcraft California,Whitcraft California,493,5,BAJA,
Kumeu River Auckland,Kumeu River Auckland,494,5,BAJA,
A Pie de Tierra Méntrida,A Pie de Tierra Méntrida,495,5,BAJA,
Agrícola Calcárea Sanlúcar,Agrícola Calcárea Sanlúcar,496,5,BAJA,
VALLEBELBO,VALLEBELBO,497,5,BAJA,
DOMINIO DE EGUREN,DOMINIO DE EGUREN,498,5,BAJA,
Nicolas Rossignol,Nicolas Rossignol,499,5,BAJA,
ROMAGNOLI,ROMAGNOLI,500,5,BAJA,
Atlan & Artisan,Atlan & Artisan,501,5,BAJA,
Dos Deus,Dos Deus,502,5,BAJA,
Timo Mayer,Timo Mayer,503,5,BAJA,
MAROTTI,MAROTTI,504,5,BAJA,
ANIMA MUNDI,ANIMA MUNDI,505,5,BAJA,
Tollot-Beaut Bourgogne,Tollot-Beaut Bourgogne,506,5,BAJA,
Bodegas Cerrón,Bodegas Cerrón,507,5,BAJA,
VINOS DE ENCOSTAS,VINOS DE ENCOSTAS,508,5,BAJA,
CAMINO DEL NORTE,CAMINO DEL NORTE,509,5,BAJA,
Adrien Lattard,Adrien Lattard,510,5,BAJA,
Clément Dumont,Clément Dumont,511,5,BAJA,
Les Dolomies,Les Dolomies,512,5,BAJA,
Champagne Emilièn Allouchery,Champagne Emilièn Allouchery,513,5,BAJA,
DOMAINE PIERRE FRICK,DOMAINE PIERRE FRICK,514,5,BAJA,
YANN CHAVE,YANN CHAVE,515,5,BAJA,
LA VINYA DEL VUIT,LA VINYA DEL VUIT,516,5,BAJA,
BODEGA HERMANOS SASTRE,BODEGA HERMANOS SASTRE,517,5,BAJA,
Tenuta di Carleone Toscana,Tenuta di Carleone Toscana,518,5,BAJA,
UKAN WINERY,UKAN WINERY,519,5,BAJA,
Domaine Mayard - Chateauneuf du Pape,Domaine Mayard - Chateauneuf du Pape,520,5,BAJA,
Domaine Clos Luern,Domaine Clos Luern,521,5,BAJA,
BOULANGER,BOULANGER,522,5,BAJA,
Agricola Brandini - Giovanna y Serena Bagnasco,Agricola Brandini - Giovanna y Serena Bagnasco,523,5,BAJA,
Nicolò Grippaldi - Sicilia,Nicolò Grippaldi - Sicilia,524,5,BAJA,
Chacra,Chacra,525,5,BAJA,
Domingo Molina,Domingo Molina,526,5,BAJA,
Tacuil,Tacuil,527,5,BAJA,
Per Se,Per Se,528,5,BAJA,
Arpepe,Arpepe,529,5,BAJA,
E. Pira & Figli Chiara Boschis,E. Pira & Figli Chiara Boschis,530,5,BAJA,
Marc Sorrel,Marc Sorrel,531,5,BAJA,
Luigi Oddero & Figli,Luigi Oddero & Figli,532,5,BAJA,
Gerard Boulay,Gerard Boulay,533,5,BAJA,
VIGNOBLES DESPAGNE RAPIN (Burdeos),VIGNOBLES DESPAGNE RAPIN (Burdeos),534,5,BAJA,
GASPARINI,GASPARINI,535,5,BAJA,
MARSURET,MARSURET,536,5,BAJA,
LUNAE,LUNAE,537,5,BAJA,
DOMAINE DU BOUCHOT,DOMAINE DU BOUCHOT,538,5,BAJA,
SYLVIE AUGEREAU,SYLVIE AUGEREAU,539,5,BAJA,
CHAMPAGNE LELARGE - PUGEOT,CHAMPAGNE LELARGE - PUGEOT,540,5,BAJA,
BODEGA PAGOS DE ANGUIX,BODEGA PAGOS DE ANGUIX,541,5,BAJA,
DOMAINE DE POUILLY,DOMAINE DE POUILLY,542,5,BAJA,
CHAMPAGNE BARRAT MASSON,CHAMPAGNE BARRAT MASSON,543,5,BAJA,
BRIÓN,BRIÓN,544,5,BAJA,
CHAMPAGNE LILBERT & FILS,CHAMPAGNE LILBERT & FILS,545,5,BAJA,
DENOGENT,DENOGENT,546,5,BAJA,
Miguel Arroyo Izquierdo,Miguel Arroyo Izquierdo,547,4,BAJA,
Reta - Marcelo Retamal,Reta - Marcelo Retamal,548,4,BAJA,
Vinos Baettig,Vinos Baettig,549,4,BAJA,
Bien de Altura,Bien de Altura,550,4,BAJA,
CESAR MUÑOZ,CESAR MUÑOZ,551,4,BAJA,
Domaine Garnier & Fils,Domaine Garnier & Fils,552,4,BAJA,
Grand Tokaj,Grand Tokaj,553,4,BAJA,
Viader Corpinnat,Viader Corpinnat,554,4,BAJA,
Jacques Lassaigne Champagne,Jacques Lassaigne Champagne,555,4,BAJA,
Frank John Pfalz,Frank John Pfalz,556,4,BAJA,
Sugrue South Downs,Sugrue South Downs,557,4,BAJA,
Fulcro Rías Baixas,Fulcro Rías Baixas,558,4,BAJA,
Abeica Rioja,Abeica Rioja,559,4,BAJA,
SAUTERNES,SAUTERNES,560,4,BAJA,
MORIC,MORIC,561,4,BAJA,
BIONDA,BIONDA,562,4,BAJA,
Chapelle St Théodoric Rhône,Chapelle St Théodoric Rhône,563,4,BAJA,
ORBEN,ORBEN,564,4,BAJA,
FINCA VIÑOA,FINCA VIÑOA,565,4,BAJA,
FRAGA DO CORVO,FRAGA DO CORVO,566,4,BAJA,
Lagar de Costa,Lagar de Costa,567,4,BAJA,
Pago Los Balancines,Pago Los Balancines,568,4,BAJA,
Finca La Torre,Finca La Torre,569,4,BAJA,
5 MONOS VITICULTORES,5 MONOS VITICULTORES,570,4,BAJA,
Ciacci Piccolomini,Ciacci Piccolomini,571,4,BAJA,
MORGANTE,MORGANTE,572,4,BAJA,
Thibaud Boudignon Loire,Thibaud Boudignon Loire,573,4,BAJA,
PAGO DE LOS ABUELOS,PAGO DE LOS ABUELOS,574,4,BAJA,
Lucile et Louis MATHIEU,Lucile et Louis MATHIEU,575,4,BAJA,
SENDA GALIANA,SENDA GALIANA,576,4,BAJA,
Domaine La Mutine - Chablis,Domaine La Mutine - Chablis,577,4,BAJA,
MERTZEORO,MERTZEORO,578,4,BAJA,
Domaine Roger Sabon,Domaine Roger Sabon,579,4,BAJA,
CHAMPAGNE CRÉTÉ CHAMBERLIN,CHAMPAGNE CRÉTÉ CHAMBERLIN,580,4,BAJA,
MAISON PONSON,MAISON PONSON,581,4,BAJA,
MAISON BRÉDIF,MAISON BRÉDIF,582,4,BAJA,
Pian dell'Orino Montalcino,Pian dell'Orino Montalcino,583,4,BAJA,
SEÑORÍO SAN VICENTE,SEÑORÍO SAN VICENTE,584,4,BAJA,
Château Angelus 2023 - Saint-Emilion,Château Angelus 2023 - Saint-Emilion,585,4,BAJA,
SIMBAD ROMERO,SIMBAD ROMERO,586,4,BAJA,
Château Haut-Brion 2023 - Pessac-Léognan,Château Haut-Brion 2023 - Pessac-Léognan,587,4,BAJA,
J. P. GROSSOT,J. P. GROSSOT,588,4,BAJA,
D. ALEXANDRE,D. ALEXANDRE,589,4,BAJA,
VILLA MARIA,VILLA MARIA,590,4,BAJA,
Borgogno e Carbone - Piemonte,Borgogno e Carbone - Piemonte,591,4,BAJA,
La Ripresa - Sicilia,La Ripresa - Sicilia,592,4,BAJA,
Pera Mança - Cartuxa,Pera Mança - Cartuxa,593,4,BAJA,
Carter Mollenhauer,Carter Mollenhauer,594,4,BAJA,
Canopus,Canopus,595,4,BAJA,
Graci,Graci,596,4,BAJA,
Viñedos de Alcohuaz,Viñedos de Alcohuaz,597,4,BAJA,
Barmès Buecher,Barmès Buecher,598,4,BAJA,
Julien Delrieu,Julien Delrieu,599,4,BAJA,
Domaine La Croix Montjoie,Domaine La Croix Montjoie,600,4,BAJA,
Familia Sichel,Familia Sichel,601,4,BAJA,
Ca'del Baio,Ca'del Baio,602,4,BAJA,
Kilikanoon,Kilikanoon,603,4,BAJA,
Domaine Louis Michel & Fils,Domaine Louis Michel & Fils,604,4,BAJA,
Hofgut Falkenstein,Hofgut Falkenstein,605,4,BAJA,
Albert Boxler,Albert Boxler,606,4,BAJA,
Schloss Lieser,Schloss Lieser,607,4,BAJA,
Storm Wines Hemel-en-Aarde,Storm Wines Hemel-en-Aarde,608,4,BAJA,
JOAQUIN,JOAQUIN,609,4,BAJA,
SANTA RITA,SANTA RITA,610,4,BAJA,
CHAMPAGNE PIERRE MONCUIT,CHAMPAGNE PIERRE MONCUIT,611,4,BAJA,
MAGIA,MAGIA,612,4,BAJA,
FRANZ HAAS,FRANZ HAAS,613,4,BAJA,
PAUL LAUNOIS,PAUL LAUNOIS,614,4,BAJA,
ALPHONSE MELLOT,ALPHONSE MELLOT,615,4,BAJA,
CHAMPAGNE FRANCIS ORBAN,CHAMPAGNE FRANCIS ORBAN,616,4,BAJA,
ANDRÉE KLIPFEL,ANDRÉE KLIPFEL,617,4,BAJA,
DOMAINE LE CLOS SIGUIER,DOMAINE LE CLOS SIGUIER,618,4,BAJA,
CHÂTEAU DE BEAUCASTEL,CHÂTEAU DE BEAUCASTEL,619,4,BAJA,
CHAMPAGNE J.M. LABRUYERE,CHAMPAGNE J.M. LABRUYERE,620,4,BAJA,
DOMAINE DE LA BUTTE,DOMAINE DE LA BUTTE,621,4,BAJA,
CHAMPAGNE DOMAINE MEA,CHAMPAGNE DOMAINE MEA,622,4,BAJA,
COUSIN BAPTISTE,COUSIN BAPTISTE,623,4,BAJA,
NICOLAS REAU,NICOLAS REAU,624,4,BAJA,
DOMAINE A. CAILBOURDIN,DOMAINE A. CAILBOURDIN,625,4,BAJA,
Indiano,Indiano,626,3,BAJA,
PINGUS,PINGUS,627,3,BAJA,
XAVIER AUSAS,XAVIER AUSAS,628,3,BAJA,
Bisci,Bisci,629,3,BAJA,
LA LOBA,LA LOBA,630,3,BAJA,
Weingut Max Ferd. Ríchter,Weingut Max Ferd. Ríchter,631,3,BAJA,
Compañía Uruguaya de Vinos de Mar,Compañía Uruguaya de Vinos de Mar,632,3,BAJA,
Viña Zorzal Navarra,Viña Zorzal Navarra,633,3,BAJA,
Lyrarakis Creta,Lyrarakis Creta,634,3,BAJA,
Reta Jerez/Sierra Salamanca,Reta Jerez/Sierra Salamanca,635,3,BAJA,
Bien de Altura Gran Canaria,Bien de Altura Gran Canaria,636,3,BAJA,
Jable de Tao Lanzarote,Jable de Tao Lanzarote,637,3,BAJA,
ROGER GROULT,ROGER GROULT,638,3,BAJA,
Domaines Lupier,Domaines Lupier,639,3,BAJA,
Parajes de los Vidrios,Parajes de los Vidrios,640,3,BAJA,
Masos,Masos,641,3,BAJA,
Barbera d Asti / Nizza,Barbera d Asti / Nizza,642,3,BAJA,
HACIENDA LOS ARCOS,HACIENDA LOS ARCOS,643,3,BAJA,
ALMIJARA,ALMIJARA,644,3,BAJA,
Sèves - Bouzeron,Sèves - Bouzeron,645,3,BAJA,
BIONDI SANTI,BIONDI SANTI,646,3,BAJA,
Plume,Plume,647,3,BAJA,
Le Potazzine,Le Potazzine,648,3,BAJA,
PREVOSTURA,PREVOSTURA,649,3,BAJA,
SANTERO,SANTERO,650,3,BAJA,
RAMIRO'S,RAMIRO'S,651,3,BAJA,
Krug,Krug,652,3,BAJA,
Armand de Brignac,Armand de Brignac,653,3,BAJA,
NARUPA VINOS,NARUPA VINOS,654,3,BAJA,
TIERRA,TIERRA,655,3,BAJA,
FEFIÑANES,FEFIÑANES,656,3,BAJA,
Château Cos d'Estournel 2023 - Saint-Estèphe,Château Cos d'Estournel 2023 - Saint-Estèphe,657,3,BAJA,
Château Léoville Poyferré 2023 - Saint - Julien,Château Léoville Poyferré 2023 - Saint - Julien,658,3,BAJA,
Château Cheval Blanc - Saint Emilion,Château Cheval Blanc - Saint Emilion,659,3,BAJA,
Dominio d'Echauz,Dominio d'Echauz,660,3,BAJA,
Pago de los Capellanes,Pago de los Capellanes,661,3,BAJA,
Bertrand Sourdais - Antídoto,Bertrand Sourdais - Antídoto,662,3,BAJA,
Manuel Cantalapiedra,Manuel Cantalapiedra,663,3,BAJA,
Vintae,Vintae,664,3,BAJA,
Esmeralda García,Esmeralda García,665,3,BAJA,
Corte Marconi - Valpolicella,Corte Marconi - Valpolicella,666,3,BAJA,
San Dionigi - IGT Verona,San Dionigi - IGT Verona,667,3,BAJA,
Burg Ravensburg,Burg Ravensburg,668,3,BAJA,
Pietroso,Pietroso,669,3,BAJA,
Viña Pérez Cruz,Viña Pérez Cruz,670,3,BAJA,
Altar Uco,Altar Uco,671,3,BAJA,
Perillo,Perillo,672,3,BAJA,
Pieropan,Pieropan,673,3,BAJA,
Castellare di Castellina,Castellare di Castellina,674,3,BAJA,
Vigna Traverso,Vigna Traverso,675,3,BAJA,
Jean Luc Jamet,Jean Luc Jamet,676,3,BAJA,
Mira do Ó,Mira do Ó,677,3,BAJA,
Domaine Villet,Domaine Villet,678,3,BAJA,
Estate Argyros,Estate Argyros,679,3,BAJA,
Francois Chidane,Francois Chidane,680,3,BAJA,
Agape,Agape,681,3,BAJA,
World's End,World's End,682,3,BAJA,
Morgen Long,Morgen Long,683,3,BAJA,
Fulcro,Fulcro,684,3,BAJA,
Riecine,Riecine,685,3,BAJA,
VERSO,VERSO,686,3,BAJA,
BATTENFELD - SPANIER,BATTENFELD - SPANIER,687,3,BAJA,
BRET BROTHERS,BRET BROTHERS,688,3,BAJA,
DOMAINE CHATEAU DE LA TOUR,DOMAINE CHATEAU DE LA TOUR,689,3,BAJA,
DOMINIO DE ARENAS,DOMINIO DE ARENAS,690,3,BAJA,
Passadouro Vintage,Passadouro Vintage,691,3,BAJA,
Fino,Fino,692,3,BAJA,
Baron de,Baron de,693,3,BAJA,
BEURER,BEURER,694,3,BAJA,
CHATEAU LA CLOTTE,CHATEAU LA CLOTTE,695,3,BAJA,
GARMÓN,GARMÓN,696,2,ALTA,
Garmon,GARMÓN,696,1,ALTA,
Alfredo Maestro,Alfredo Maestro,697,2,ALTA,
ALFREDO MAESTRO,Alfredo Maestro,697,1,ALTA,
Castelo de Pedregosa,Castelo de Pedregosa,698,2,BAJA,
Pazo Vedoira,Pazo Vedoira,699,2,BAJA,
ALIÓN,ALIÓN,700,2,BAJA,
MORAL DIEZ,MORAL DIEZ,701,2,BAJA,
Bérêche & Fils Champagne,Bérêche & Fils Champagne,702,2,BAJA,
Scar of the Sea,Scar of the Sea,703,2,BAJA,
Domaine Feraud et Fils,Domaine Feraud et Fils,704,2,BAJA,
Coreografia Wines,Coreografia Wines,705,2,BAJA,
Pepe Blanco Jerez,Pepe Blanco Jerez,706,2,BAJA,
Ch. Doisy-Vedrines20182º,Ch. Doisy-Vedrines20182º,707,2,BAJA,
LAGENWEINE (VIÑEDOS CLASIFICADOS),LAGENWEINE (VIÑEDOS CLASIFICADOS),708,2,BAJA,
Romain Taupenot,Romain Taupenot,709,2,BAJA,
Colet / Equipo Navazos,Colet / Equipo Navazos,710,2,BAJA,
Domaine Schoffit,Domaine Schoffit,711,2,BAJA,
Hure Freres,Hure Freres,712,2,BAJA,
Familia Schroeder,Familia Schroeder,713,2,BAJA,
Castell d Encus,Castell d Encus,714,2,BAJA,
MICHELINI I MUFFATO,MICHELINI I MUFFATO,715,2,BAJA,
Pinot Noir,Pinot Noir,716,2,BAJA,
Com Tu,Com Tu,717,2,BAJA,
Lune d',Lune d',718,2,BAJA,
Gravelly Meadow,Gravelly Meadow,719,2,BAJA,
Moulin de la Gardette Gigondas,Moulin de la Gardette Gigondas,720,2,BAJA,
Clandestin Champagne,Clandestin Champagne,721,2,BAJA,
LE FLEQ,LE FLEQ,722,2,BAJA,
JOSÉ ARISTEGUI,JOSÉ ARISTEGUI,723,2,BAJA,
Domaine Berlancourt - Meursault,Domaine Berlancourt - Meursault,724,2,BAJA,
BRUNO MURCIANO,BRUNO MURCIANO,725,2,BAJA,
BELASCO,BELASCO,726,2,BAJA,
CHANCENY,CHANCENY,727,2,BAJA,
LA DOMINIQUE,LA DOMINIQUE,728,2,BAJA,
Domaine la Bergerie de l'Arcade,Domaine la Bergerie de l'Arcade,729,2,BAJA,
Valdepoleo,Valdepoleo,730,2,BAJA,
Château d'Esclans,Château d'Esclans,731,2,BAJA,
Domaine Hauvette,Domaine Hauvette,732,2,BAJA,
Ch. La Tour de By Rosé,Ch. La Tour de By Rosé,733,2,BAJA,
Gew. Vendage Tardive,Gew. Vendage Tardive,734,2,BAJA,
V. DO GABIÁN,V. DO GABIÁN,735,2,BAJA,
Red Rock Terrace,Red Rock Terrace,736,2,BAJA,
Domaine Frank Balthazar,Domaine Frank Balthazar,737,2,BAJA,
BODEGAS DEL RIO,BODEGAS DEL RIO,738,2,BAJA,
PAZOSDE LUSCO,PAZOSDE LUSCO,739,2,BAJA,
EXEO,EXEO,740,2,BAJA,
MOZO WINES,MOZO WINES,741,2,BAJA,
CONTADOR,CONTADOR,742,2,BAJA,
PIEDEMONTE,PIEDEMONTE,743,2,BAJA,
Rania,Rania,744,2,BAJA,
Château La Mission d' Haut-Brion 2023 - Pessac-,Château La Mission d' Haut-Brion 2023 - Pessac-,745,2,BAJA,
Château Ausone - Saint Emilion,Château Ausone - Saint Emilion,746,2,BAJA,
Luca Bernasconi - Témide,Luca Bernasconi - Témide,747,2,BAJA,
Bertrand Sourdais - GALIA,Bertrand Sourdais - GALIA,748,2,BAJA,
Agrícola Castellana - Rueda,Agrícola Castellana - Rueda,749,2,BAJA,
Guimaro & Niepoort - Galicia Ribera Sacra,Guimaro & Niepoort - Galicia Ribera Sacra,750,2,BAJA,
Baynos,Baynos,751,2,BAJA,
Real Companhia Velha,Real Companhia Velha,752,2,BAJA,
Bodega Cerrón / Stratum Wines,Bodega Cerrón / Stratum Wines,753,2,BAJA,
San Pedro de Yacochuya,San Pedro de Yacochuya,754,2,BAJA,
Monteviejo,Monteviejo,755,2,BAJA,
Roccolo Grassi,Roccolo Grassi,756,2,BAJA,
Scriani,Scriani,757,2,BAJA,
Gianfranco Fino,Gianfranco Fino,758,2,BAJA,
Guido Mazzarello,Guido Mazzarello,759,2,BAJA,
Domaine Charvin,Domaine Charvin,760,2,BAJA,
Chateau Pradeaux,Chateau Pradeaux,761,2,BAJA,
Masson-Blondelet,Masson-Blondelet,762,2,BAJA,
Pax,Pax,763,2,BAJA,
Domaine Bernard Gripa,Domaine Bernard Gripa,764,2,BAJA,
Heritage Marc Pagès,Heritage Marc Pagès,765,2,BAJA,
DOMINIO DE LA BIENVENIDA,DOMINIO DE LA BIENVENIDA,766,2,BAJA,
DELAMAIN,DELAMAIN,767,2,BAJA,
SPERI,SPERI,768,2,BAJA,
TOMMASI,TOMMASI,769,2,BAJA,
SANDROFAY,SANDROFAY,770,2,BAJA,
Mount Riley Wines,Mount Riley Wines,771,2,BAJA,
PINARD BROTHERS,PINARD BROTHERS,772,2,BAJA,
CHAMPAGNE GUY MEA,CHAMPAGNE GUY MEA,773,2,BAJA,
BODEGA VERACRUZ,BODEGA VERACRUZ,774,2,BAJA,
LAGAR DE BESADA,LAGAR DE BESADA,775,2,BAJA,
DOÑA PAULA,DOÑA PAULA,776,2,BAJA,
NIEL BESTER,NIEL BESTER,777,2,BAJA,
Aldeasoña,Aldeasoña,778,2,BAJA,
Benjamín Romeo,Benjamín Romeo,779,2,BAJA,
Volcanic Hill,Volcanic Hill,780,2,BAJA,
Yema,Yema,781,2,BAJA,
Duas Quintas,Duas Quintas,782,2,BAJA,
Camille Hommage Volibarts,Camille Hommage Volibarts,783,2,BAJA,
Ch. Violet Lamothe,Ch. Violet Lamothe,784,2,BAJA,
Ch. Doisy-Vedrines20222º,Ch. Doisy-Vedrines20222º,785,2,BAJA,
MONT LE VIEUX,MONT LE VIEUX,786,2,BAJA,
Comte Lafond,Comte Lafond,787,2,BAJA,
JEAN DE VILLARÉ,JEAN DE VILLARÉ,788,1,ALTA,
DOMAINE JEAN DE VILLARÉ,JEAN DE VILLARÉ,788,1,ALTA,
VIÑA ZORZAL,VIÑA ZORZAL,789,1,ALTA,
Vina Zorzal,VIÑA ZORZAL,789,1,ALTA,
Chambertin Cuvée Héritiers Latour2016G.,Chambertin Cuvée Héritiers Latour2016G.,790,1,ALTA,
Chambertin Cuvée Héritiers Latour2015G.,Chambertin Cuvée Héritiers Latour2016G.,790,1,ALTA,
Ch.La Tour de By,Ch.La Tour de By,791,1,BAJA,
Le Petit Cheval Blanc,Le Petit Cheval Blanc,792,1,BAJA,
Ermitage Le Pavillon,Ermitage Le Pavillon,793,1,BAJA,
Eulogio Pomares Rías Baixas,Eulogio Pomares Rías Baixas,794,1,BAJA,
Selección Chateauneuf-du-Pape,Selección Chateauneuf-du-Pape,795,1,BAJA,
