valor_original,propuesta_canonica,grupo_id,apariciones,confianza,DUDOSO
JOH. JOS. PRÜM,JOH. JOS. PRÜM,87,22,MEDIA,
MAURO,MAURO,88,17,ALTA,
Mauro,MAURO,88,4,ALTA,
Bodegas Mauro,MAURO,88,1,ALTA,
RACINES,RACINES,89,21,MEDIA,
ELIO ALTARE,ELIO ALTARE,90,21,MEDIA,
DOMAINES OTT,DOMAINES OTT,91,21,MEDIA,
Vin Noé - Jonathan Purcell,Vin Noé - Jonathan Purcell,92,21,MEDIA,
Millemann,Millemann,93,21,MEDIA,
Maison Meyer,Maison Meyer,94,21,MEDIA,
Domaine Peirazeau,Domaine Peirazeau,95,21,MEDIA,
Maison A&S,Maison A&S,96,21,MEDIA,
BODEGA SANGENÍS I VAQUÉ,BODEGA SANGENÍS I VAQUÉ,97,21,MEDIA,
BODEGA MENADE,BODEGA MENADE,98,21,MEDIA,
MOVIMIENTO THUNDERWINES,MOVIMIENTO THUNDERWINES,99,20,MEDIA,
EVA FRICKE,EVA FRICKE,100,20,MEDIA,
Jean-Yves Devevey,Jean-Yves Devevey,101,20,MEDIA,
DOMINIO DE ES,DOMINIO DE ES,102,20,MEDIA,
Antonio Muñoz Cabrera,Antonio Muñoz Cabrera,103,19,MEDIA,
Nicole Lamarche,Nicole Lamarche,104,19,MEDIA,
RAMOS PINTO,RAMOS PINTO,105,19,MEDIA,
DIMOBE,DIMOBE,106,19,MEDIA,
Viñedos de Matallana,Viñedos de Matallana,107,19,MEDIA,
ALVEAR,ALVEAR,108,19,MEDIA,
BODEGA PEGASO VIÑAS VIEJAS,BODEGA PEGASO VIÑAS VIEJAS,109,19,MEDIA,
Domaine Maxime Cottenceau,Domaine Maxime Cottenceau,110,18,MEDIA,
Domaine Edouard Confuron - Vosne-Romanée,Domaine Edouard Confuron - Vosne-Romanée,111,18,MEDIA,
Vinícola Real - 200 Monges,Vinícola Real - 200 Monges,112,18,MEDIA,
DOMAINE ZUSSLIN,DOMAINE ZUSSLIN,113,18,MEDIA,
Abel Mendoza,Abel Mendoza,114,17,MEDIA,
JUAN PIÑERO,JUAN PIÑERO,115,17,MEDIA,
PEDREGOSA,PEDREGOSA,116,17,MEDIA,
ZORZAL WINES,ZORZAL WINES,117,17,MEDIA,
RAFAEL CAMBRA,RAFAEL CAMBRA,118,17,MEDIA,
Maison en Belles Lies,Maison en Belles Lies,119,17,MEDIA,
VIÑEDOS DEL CONTINO,VIÑEDOS DEL CONTINO,120,17,MEDIA,
Bodega D. Mateos,Bodega D. Mateos,121,17,MEDIA,
CHAMPAGNE HENRI GIRAUD,CHAMPAGNE HENRI GIRAUD,122,17,MEDIA,
MAISON AMI,MAISON AMI,123,17,MEDIA,
ZARATE,ZARATE,124,16,ALTA,
Zarate,ZARATE,124,1,ALTA,
BODEGA EL SEQUÉ,BODEGA EL SEQUÉ,125,13,ALTA,
EL SEQUE,BODEGA EL SEQUÉ,125,3,ALTA,
El Sequé,BODEGA EL SEQUÉ,125,1,ALTA,
BODEGA CINCO LEGUAS,BODEGA CINCO LEGUAS,126,9,ALTA,
CINCO LEGUAS,BODEGA CINCO LEGUAS,126,4,ALTA,
BODEGAS CINCO LEGUAS,BODEGA CINCO LEGUAS,126,4,ALTA,
LIVIO FELLUGA,LIVIO FELLUGA,127,16,MEDIA,
Frontonio Valdejalón,Frontonio Valdejalón,128,16,MEDIA,
J.L. CHAVE SELECTION,J.L. CHAVE SELECTION,129,16,MEDIA,
SAMUEL BILLAUD,SAMUEL BILLAUD,130,16,MEDIA,
FORJAS DEL SALNÉS,FORJAS DEL SALNÉS,131,16,MEDIA,
TOBIA,TOBIA,132,16,MEDIA,
Bertrand Sourdais - Dominio de Es,Bertrand Sourdais - Dominio de Es,133,16,MEDIA,
RICASOLI,RICASOLI,134,16,MEDIA,
TELMO RODRÍGUEZ,TELMO RODRÍGUEZ,135,13,ALTA,
Telmo Rodríguez,TELMO RODRÍGUEZ,135,3,ALTA,
DOMINIO DE CALOGÍA,DOMINIO DE CALOGÍA,136,10,ALTA,
